分類,施設名,所在地,緯度,経度,電話番号,FAX番号,駐車可能台数,トイレ,多目的トイレ,授乳室,AED,一次避難所,URL,主な業務・施設概要,,,,,,,,,,,,
幼稚園,登美ヶ丘幼稚園,奈良県奈良市西登美ヶ丘4-21-1,34.71986,135.740511,0742-44-7071,0742-44-7071,―,○,―,―,―,―,"http://www.naracity.ed.jp/kin02/index.cfm/6,html",―,,,,,,,,,,,,
幼稚園,右京幼稚園,奈良県奈良市右京4-11-1,34.721951,135.786365,0742-71-1768,0742-71-1768,―,○,―,―,―,―,"http://www.naracity.ed.jp/kin02/index.cfm/8,html",―,,,,,,,,,,,,
幼稚園,東登美ヶ丘幼稚園,奈良県奈良市東登美ヶ丘4-21-26,34.719853,135.756006,0742-43-3151,0742-43-3151,―,○,―,―,―,―,"http://www.naracity.ed.jp/kin02/index.cfm/9,html",―,,,,,,,,,,,,
幼稚園,二名幼稚園,奈良県奈良市二名1-3722,34.707347,135.737041,0742-43-3150,0742-43-3150,―,○,―,―,―,―,"http://www.naracity.ed.jp/kin02/index.cfm/10,html",―,,,,,,,,,,,,
幼稚園,六条幼稚園,奈良県奈良市六条2-14-2,34.670734,135.772251,0742-43-5698,0742-43-5698,―,○,―,―,―,―,"http://www.naracity.ed.jp/kin02/index.cfm/11,html",―,,,,,,,,,,,,
幼稚園,西大寺北幼稚園,奈良県奈良市西大寺赤田町1-6-2,34.698916,135.772436,0742-43-7435,0742-43-7435,―,○,―,―,―,―,"http://www.naracity.ed.jp/kin02/index.cfm/12,html",―,,,,,,,,,,,,
幼稚園,辰市幼稚園,奈良県奈良市東九条町393-4,34.657244,135.810704,0742-61-1041,0742-61-1041,―,○,―,―,○,―,"http://www.naracity.ed.jp/kin02/index.cfm/13,html",―,,,,,,,,,,,,
幼稚園,富雄第三幼稚園,奈良県奈良市帝塚山南2-11-2,34.676115,135.730901,0742-43-9566,0742-43-9566,―,○,―,―,―,―,"http://www.naracity.ed.jp/kin02/index.cfm/14,html",―,,,,,,,,,,,,
幼稚園,平城西幼稚園,奈良県奈良市東登美ヶ丘3-1168,34.713493,135.7642,0742-47-0507,0742-47-0507,―,○,―,―,―,―,"http://www.naracity.ed.jp/kin02/index.cfm/17,html",―,,,,,,,,,,,,
幼稚園,神功幼稚園,奈良県奈良市神功4-13-1,34.719704,135.777126,0742-71-4647,0742-71-4647,―,○,―,―,―,―,"http://www.naracity.ed.jp/kin02/index.cfm/18,html",―,,,,,,,,,,,,
幼稚園,大安寺西幼稚園,奈良県奈良市大安寺西1-348,34.673448,135.804477,0742-34-7599,0742-34-7599,―,○,―,―,―,―,"http://www.naracity.ed.jp/kin02/index.cfm/19,html",―,,,,,,,,,,,,
幼稚園,三碓幼稚園,奈良県奈良市西千代ヶ丘1-20-32,34.682832,135.742004,0742-47-1581,0742-47-1581,―,○,―,―,―,―,"http://www.naracity.ed.jp/kin02/index.cfm/20,html",―,,,,,,,,,,,,
幼稚園,朱雀幼稚園,奈良県奈良市朱雀6-10-2,34.717174,135.797772,0742-71-5221,0742-71-5221,―,○,―,―,―,―,"http://www.naracity.ed.jp/kin02/index.cfm/21,html",―,,,,,,,,,,,,
幼稚園,鼓阪北幼稚園,奈良県奈良市青山9-3-2,34.708789,135.835972,0742-22-5877,0742-22-5877,―,○,―,―,―,―,"http://www.naracity.ed.jp/kin02/index.cfm/22,html",―,,,,,,,,,,,,
幼稚園,伏見南幼稚園,奈良県奈良市宝来5-5-3,34.681325,135.769863,0742-49-0185,0742-49-0185,―,○,―,―,―,―,"http://www.naracity.ed.jp/kin02/index.cfm/23,html",―,,,,,,,,,,,,
こども園,都祁こども園,奈良県奈良市都祁白石町1026-6,34.606316,135.95749,0743-82-0100,―,―,○,―,―,○,―,http://www.city.nara.lg.jp/www/contents/1425385413730/index.html,―,,,,,,,,,,,,
こども園,月ヶ瀬こども園,奈良県奈良市月ヶ瀬尾山2790,34.711331,136.044839,0743-92-0310,―,―,○,―,―,○,―,http://www.city.nara.lg.jp/www/contents/1425385413730/index.html,―,,,,,,,,,,,,
こども園,帯解こども園,奈良県奈良市柴屋町20,34.644662,135.83003,0742-61-0554,―,―,○,―,―,○,―,http://www.city.nara.lg.jp/www/contents/1425385413730/index.html,―,,,,,,,,,,,,
こども園,布目こども園,奈良県奈良市邑地町40,34.707417,135.980834,0742-94-0411,―,―,○,―,―,○,―,http://www.city.nara.lg.jp/www/contents/1425385413730/index.html,―,,,,,,,,,,,,
こども園,柳生こども園,奈良県奈良市柳生下町156,34.737362,135.951761,0742-94-0303,―,―,○,―,―,○,―,http://www.city.nara.lg.jp/www/contents/1425385413730/index.html,―,,,,,,,,,,,,
こども園,都跡こども園,奈良県奈良市四条大路5-2-55,34.680369,135.789523,0742-33-5661,―,―,○,―,―,○,―,http://www.city.nara.lg.jp/www/contents/1425385413730/index.html,―,,,,,,,,,,,,
こども園,富雄南こども園,奈良県奈良市中町4174,34.674513,135.748376,0742-43-1606,―,―,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1425385413730/index.html,―,,,,,,,,,,,,
こども園,青和こども園,奈良県奈良市百楽園4-1-1,34.700432,135.743932,0742-44-9596,―,―,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1425385413730/index.html,―,,,,,,,,,,,,
こども園,左京こども園,奈良県奈良市左京3-1-2,34.713953,135.805029,0742-72-0581,―,―,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1425385413730/index.html,―,,,,,,,,,,,,
保育園,若草保育園,奈良県奈良市川上町493-1,34.696811,135.834306,0742-22-7019,0742-27-7201,―,○,―,―,○,―,http://www.city.nara.lg.jp/www/contents/1147922344563/index.html,―,,,,,,,,,,,,
保育園,三笠保育園,奈良県奈良市西之阪町9,34.683062,135.822498,0742-22-7018,0742-27-7301,―,○,―,―,○,―,http://www.city.nara.lg.jp/www/contents/1147922344563/index.html,―,,,,,,,,,,,,
保育園,辰市保育園,奈良県奈良市杏町391-2,34.661881,135.801288,0742-61-7020,0742-63-2450,―,○,―,―,○,―,http://www.city.nara.lg.jp/www/contents/1147922344563/index.html,―,,,,,,,,,,,,
保育園,春日保育園,奈良県奈良市西木辻町165-2,34.672661,135.82217,0742-61-7017,0742-63-2470,―,○,―,―,○,―,http://www.city.nara.lg.jp/www/contents/1147922344563/index.html,―,,,,,,,,,,,,
保育園,都南保育園,奈良県奈良市横井1-107-1,34.653963,135.830946,0742-61-2870,0742-63-0226,―,○,―,―,○,―,http://www.city.nara.lg.jp/www/contents/1147922344563/index.html,―,,,,,,,,,,,,
保育園,伏見保育園,奈良県奈良市宝来3-9-35,34.682719,135.775527,0742-44-2666,0742-47-7772,―,○,―,―,○,―,http://www.city.nara.lg.jp/www/contents/1147922344563/index.html,―,,,,,,,,,,,,
保育園,大宮保育園,奈良県奈良市三条大宮町3-8,34.678832,135.816032,0742-33-1355,0742-33-8420,―,○,―,―,○,―,http://www.city.nara.lg.jp/www/contents/1147922344563/index.html,―,,,,,,,,,,,,
保育園,右京保育園,奈良県奈良市右京5-1-1,34.722413,135.78819,0742-71-1186,0742-71-0741,―,○,―,―,○,―,http://www.city.nara.lg.jp/www/contents/1147922344563/index.html,―,,,,,,,,,,,,
保育園,学園南保育園,奈良県奈良市学園南3-15-28,34.693607,135.749513,0742-46-1176,0742-47-7351,―,○,―,―,○,―,http://www.city.nara.lg.jp/www/contents/1147922344563/index.html,―,,,,,,,,,,,,
保育園,高円保育園,奈良県奈良市古市町1249,34.662704,135.835026,0742-61-0139,0742-63-0207,―,○,―,―,○,―,http://www.city.nara.lg.jp/www/contents/1147922344563/index.html,―,,,,,,,,,,,,
保育園,朱雀保育園,奈良県奈良市朱雀6-9,34.716102,135.796732,0742-71-5185,0742-71-0761,―,○,―,―,○,―,http://www.city.nara.lg.jp/www/contents/1147922344563/index.html,―,,,,,,,,,,,,
保育園,京西保育園,奈良県奈良市六条西1-3-43-1,34.6716,135.770904,0742-43-9023,0742-47-6871,―,○,―,―,○,―,http://www.city.nara.lg.jp/www/contents/1147922344563/index.html,―,,,,,,,,,,,,
保育園,富雄保育園,奈良県奈良市三碓6-10-13,34.683416,135.738514,0742-45-9341,0742-47-6761,―,○,―,―,○,―,http://www.city.nara.lg.jp/www/contents/1147922344563/index.html,―,,,,,,,,,,,,
保育園,神功保育園,奈良県奈良市神功4-25-3,34.720658,135.777808,0742-71-9365,0742-71-0751,―,○,―,―,○,―,http://www.city.nara.lg.jp/www/contents/1147922344563/index.html,―,,,,,,,,,,,,
児童館,古市児童館,奈良県奈良市古市町1263,34.661505,135.83478,0742-62-7300,0742-63-0308,4,○,○,―,―,○,http://www.city.nara.lg.jp/www/contents/1271030459079/index.html,児童の人権尊重の精神を養うとともに、これら児童の健全な育成をめざしています。,,,,,,,,,,,,
児童館,横井児童館,奈良県奈良市横井5-337-2,34.650711,135.830133,0742-62-0307,0742-63-0227,30,○,○,―,―,○,http://www.city.nara.lg.jp/www/contents/1285136344840/index.html,児童の人権尊重の精神を養うとともに、これら児童の健全な育成をめざしています。,,,,,,,,,,,,
児童館,東之阪児童館,奈良県奈良市川上町461-1,34.696876,135.83603,0742-27-8263,0742-27-7501,12,○,○,○,―,○,http://www.city.nara.lg.jp/www/contents/1266461931437/index.html,児童の人権尊重の精神を養うとともに、これら児童の健全な育成をめざしています。,,,,,,,,,,,,
児童館,大宮児童館,奈良県奈良市西之阪町5-1,34.682617,135.822574,0742-27-2220,0742-27-2228,3,○,○,―,―,○,http://www.city.nara.lg.jp/www/contents/1271031887568/index.html,児童の人権尊重の精神を養うとともに、これら児童の健全な育成をめざしています。,,,,,,,,,,,,
福祉施設,子ども発達センター,奈良県奈良市紀寺町580-2,34.671700,135.833410,0742-20-2100,0742-24-0780,10,○,○,―,○,―,http://www.city.nara.lg.jp/www/contents/1398926778677/index.html,奈良市子ども発達センター「療育相談室」では、お子さんの「得意なところ」「苦手なところ」を理解しながら、その子に合った関わり方を保護者と一緒に考えていきます。就学前までのお子さんのことで、「かんしゃくが激しくて機嫌が悪いことが多い」「園の友達とやりとりができにくい」「ことばが遅い」など、気になる行動や心配なことについてご相談ください。　,,,,,,,,,,,,
病院・診療所,総合医療センター(メディカルなら),奈良県奈良市柏木町519-5,34.673328,135.799405,0742-33-7876,0742-33-5800,86,○,○,―,○,―,http://www2.mahoroba.ne.jp/~nara-city-med/kensa/kensa.html,―,,,,,,,,,,,,
保健所・教育総合センター,都祁保健センター,奈良県奈良市都祁白石町1084,34.60388,135.957412,0743-82-0341,0743-82-0409,5,○,―,―,―,―,"http://www.city.nara.lg.jp/www/contents/
1149552287164/index.html",都祁保健センターは、都祁・月ヶ瀬・田原・柳生・興東地域の健康相談、健康診査等の健康に関する事業を行うための施設です。,,,,,,,,,,,,
ごみ処理施設,衛生浄化センター,奈良県奈良市奈良市大安寺西2-281,34.671126,135.804586,0742-33-2942,―,18,○,―,―,―,―,https://icity.elg-front.jp/nara/mapApp/mapionservlet?ActionKind=previewbrowser&MI_CODE=1352078996055,―,,,,,,,,,,,,
ごみ処理施設,環境清美センター,奈良県奈良市左京5-2,34.713855,135.809562,0742-71-3000,0742-71-5445,30,○,―,―,○,―,http://www.city.nara.lg.jp/www/genre/0000000000000/1000000001222/index.html,―,,,,,,,,,,,,
ごみ処理施設,土地改良清美事務所,奈良県奈良市米谷町863,34.618547,135.878571,0742-62-2976,0742-62-4670,0,○,―,―,―,―,http://www.city.nara.lg.jp/www/genre/0000000000000/1000000001232/index.html,環境清美工場より排出される焼却灰、及び破砕不燃物の最終処分場。,,,,,,,,,,,,
ごみ処理施設,奈良阪処分地管理事務所,奈良県奈良市奈良阪町1346,34.704457,135.821907,0742-23-4914,0742-23-4914,0,○,―,―,―,―,―,奈良市が収集した一般家庭ゴミの最終処分場。,,,,,,,,,,,,
文化・生涯学習施設(公民館以外),グリーンホール,奈良県奈良市中登美ヶ丘3-1994-10,34.71982,135.749025,0742-45-7407,―,2,○,○,―,―,―,http://www.city.nara.lg.jp/www/contents/1147824567802/index.html,奈良市グリーンホールは、日豪親善、社会福祉、教育・青少年育成など幅広い分野で多大な功績を残した奈良市特別名誉市民故アントニ・Ｊ・グリン神父の記念館として、また、国際交流をはじめとする市民の皆様の交流活動の促進を図ることを目的として建てられました。,,,,,,,,,,,,
観光施設,観光センター,奈良県奈良市奈良市上三条町23-4,34.682281,135.825831,0742-22-3900,―,0,○,○,○,―,―,https://narashikanko.or.jp/info/,―,,,,,,,,,,,,
観光施設,総合観光案内所,奈良県奈良市三条本町1082,34.68174,135.819816,0742-27-2223,―,0,○,○,○,○,―,https://narashikanko.or.jp/info/,―,,,,,,,,,,,,
観光施設,近鉄奈良駅総合観光案内所,奈良県奈良市東向中町29近鉄奈良駅ビル1F,34.684102,135.828092,0742-24-4858,―,0,―,―,―,―,―,https://narashikanko.or.jp/info/,―,,,,,,,,,,,,
観光施設,旧柳生藩家老屋敷,奈良県奈良市柳生町155-1,34.732429,135.950274,0742-94-0002,0742-94-0002,2,○,―,―,―,―,https://narashikanko.or.jp/spot/museum/kyuyagyuhan-karoyashiki/,柳生藩の財政立て直しを行った、家老小山田主鈴の旧屋敷。豪壮な石垣がみごとで、天保12年(1841)尾張石工が築いたと刻まれています。昭和39年作家山岡荘八氏の所有となり、氏の小説「春の坂道」(NHKでドラマ化)の構想を練った屋敷として注目を集め、氏の亡き後は、その意志により、奈良市へ寄贈されました。,,,,,,,,,,,,
観光施設,旧柳生藩陣屋跡,奈良県奈良市柳生町337,34.728813,135.952897,0742-94-0002,―,0,―,―,―,―,―,https://narashikanko.or.jp/spot/park/kyu-yagyuhanjinyaato/,柳生藩主の居所跡で昭和55年6月に史跡公園として整備されました。,,,,,,,,,,,,
観光施設,針テラス情報館,奈良県奈良市針町345,34.610431,135.96322,0743-82-5633,―,500,○,○,―,―,―,http://www.hariinfo.jp/,観光・道路等の各種リアルタイムな情報の提供、都祁がひと目でわかる歴史資料の展示、高原のきれいな空気と水で育った生鮮野菜と手造りから生まれた特産品販売を行っています。,,,,,,,,,,,,
観光施設,ならまち格子の家,奈良県奈良市元興寺町44,34.675017,135.830724,0742-23-4820,―,0,○,○,―,○,―,http://www.city.nara.lg.jp/www/contents/1381131993144/index.html,「ならまち格子の家」は、奈良町の伝統的な町家[主屋(三室一列型・通り庭・つし二階)、中庭、離れ、蔵]を再現しており、外だけでなく中からもじっくりと見ていただけます。間口は狭く、奥行きが深いのが特徴で、奈良独特の格子から差し込む光はどこかあたたかく、ほっと一息つきたくなるような気持ちにさせてくれます。昔の奈良の町家の生活様式に直接ふれていただくとともに、奈良町の情報提供の場、観光客や市民の憩いの場としても自由にご利用いただけます。奈良町散策の休憩にもぜひお越しください。,,,,,,,,,,,,
観光施設,奈良町からくりおもちゃ館,奈良県奈良市陰陽町7,34.677333,135.828119,0742-26-5656 ,0742-26-5656 ,0,○,○,―,○,―,http://karakuri-omochakan.jimdo.com/,奈良町からくりおもちゃ館は、奈良町の伝統的な町家の空間で、昔ながらのおもちゃに触れて遊ぶことができる体験型の施設です。 ,,,,,,,,,,,,
観光施設,奈良町にぎわいの家,奈良県奈良市中新屋町5,34.677247,135.830138,0742-20-1917,―,0,○,○,―,○,―,http://naramachi-nigiwainoie.jp/,"「奈良町にぎわいの家」は、大正6年に建築された町家を改修したものであり、平成27年4月に、当時の暮らしや文化を体感できる施設としてオープンしました。町家の空間を活かしたイベントや伝統行事などを行い、奈良町の文化を発信することで、観光客、地域住民、学生など様々な人が集い、楽しみ、伝え合う場として活用することを目指しています。どうぞお気軽に足をお運びください。
",,,,,,,,,,,,
観光施設,奈良町南観光案内所『鹿の舟』,奈良県奈良市井上町11,34.674053,135.830732,0742-94-3500,―,0,○,○,―,―,―,http://www.kuruminoki.co.jp/shikanofune/,"平成27年11月、奈良町の文化観光施設であった「旧ならまち振興館」が、観光案内所や食堂、カフェを併設した複合施設奈良町南観光案内所『鹿の舟』としてオープンしました！
観光案内をはじめ、かまどで炊いたご飯や奈良県産の旬の食材を使用した朝食・昼食の提供、また、昔から続く暮らしの知恵や文化を学ぶイベントの実施など、生活文化に根ざした奈良の魅力を発信し、奈良町全体の活性化を目指します。ぜひ一度、お立ち寄りください。",,,,,,,,,,,,
観光施設,旧鍋屋交番きたまち案内所(きたまち鍋屋観光案内所),奈良県奈良市半田横町37-2,34.687437,135.829739,0742-23-1928,―,0,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1339134894172/,平成24年7月1日(日曜日)、奈良市で初めて、地元の皆様との協働により運営される観光案内施設「旧鍋屋交番　きたまち案内所(奈良市きたまち鍋屋観光案内所)」が半田横町にオープンしました。この建物は、長らく「鍋屋の交番」として親しまれてきた旧奈良警察署鍋屋連絡所(明治41年設置、昭和3年に現在の半田横町に移転)を改築したものです。地域住民の安心のよりどころとして、その役目を終えて数年、一時傷みも目立つようになっていましたが、地域の声によりこのたび保存、改修を経て新たに生まれ変わりました。独特な洋風の外観はそのまま生かし、きたまちの玄関口で、地域の観光案内や地域活動の活性化、大学の研究・教育拠点など、さまざまな活動を実践していくことを目指しています。,,,,,,,,,,,,
観光施設,きたまち転害門観光案内所,奈良県奈良市手貝町54-1,34.691793,135.834861,0742-24-1940,―,0,○,○,―,―,―,http://www.city.nara.lg.jp/www/contents/1368772531937/,平成25年5月25日(土曜日)、地元の皆様との協働により運営される観光案内施設「奈良市きたまち転害門観光案内所」が手貝町にオープンしました。この案内所の建物は、昭和15年に南都銀行手貝支店として建築されました。近代建築家である岩崎平太郎氏により設計され、町家の形態を遺した近代建築として貴重なものです。,,,,,,,,,,,,
文化・生涯学習施設(公民館以外),なら工藝館,奈良県奈良市阿字万字町1-1,34.678705,135.828276,0742-27-0033,0742-27-9922,4,○,○,―,○,―,http://azemame.web.fc2.com/,"工芸家の作品展示を行う常設展示室、個人・グループ・企業などが作品展示に利用できるギャラリー阿字万字『あぜまめ』、各種工芸教室に使用する研修室など。
",,,,,,,,,,,,
勤労者関連施設,勤労者総合福祉センター,奈良県奈良市佐保台西町115,34.713144,135.81108,0742-71-2444,0742-71-9155,62,○,―,―,○,―,http://www.wellby-nara.or.jp/,この施設は、勤労者をはじめとして、広く市民が教養を高め、またスポーツなどを通じて心身の健康を図ってもらうための施設です。また、会議・研修等でも使用できます。,,,,,,,,,,,,
勤労者関連施設,シルバー人材センター,奈良県奈良市八条1-790-1,34.663773,135.802189,0742-50-4004,0742-50-4009,3,○,―,―,―,―,http://nara-sjc.or.jp/,高年齢者の就業機会の増大と福祉の増進を図るとともに、高年齢者の能力を生かした活力ある地域社会づくりに寄与するために業務を行っています。,,,,,,,,,,,,
産業関連施設,きらっ都・奈良,奈良県奈良市橋本町3-1,34.68165,135.829224,0742-27-1111,0742-27-3111,0,○,―,○,―,―,http://machinara.jp/,起業家や起業を志す人への支援を行っています。起業家の販売スペース、コワーキングスペース等もあるほか、会議室・研修室の貸し出しも行っています。,,,,,,,,,,,,
都市整備・建設関連施設,JR奈良駅周辺整備事務所,奈良県奈良市三条本町1-80,34.677666,135.816924,0742-36-0360,0742-35-4725,20,○,―,―,―,―,http://www.city.nara.lg.jp/www/genre/0000000000000/1000000000703/index.html,ＪＲ奈良駅南特定土地区画整理事業,,,,,,,,,,,,
都市整備・建設関連施設,西大寺駅周辺整備事務所,奈良県奈良市西大寺南町2-6,34.691385,135.781644,0742-43-6388,0742-43-8660,2,○,―,―,―,―,http://www.city.nara.lg.jp/www/genre/0000000000000/1000000000708/index.html,主に近鉄西大寺駅南土地区画整理事業、近鉄西大寺駅北側地区整備をおこなっております。,,,,,,,,,,,,
都市整備・建設関連施設,土木管理センター,奈良県奈良市大安寺西2-288-1,34.671601,135.803309,0742-33-3015,0742-33-7068,10,○,―,―,―,―,―,市道の直営維持補修作業等,,,,,,,,,,,,
中学校,春日中学校,奈良県奈良市西木辻町67,34.673663,135.820204,0742-61-7071,0742-62-8462,―,○,―,―,○,○,"http://www.naracity.ed.jp/jhs01/index.cfm/6,html",―,,,,,,,,,,,,
中学校,三笠中学校,奈良県奈良市三条川西町3-1,34.680161,135.806455,0742-33-1472,0742-35-6885,―,○,―,―,○,○,"http://www.naracity.ed.jp/jhs01/index.cfm/7,html",―,,,,,,,,,,,,
中学校,若草中学校,奈良県奈良市法蓮町1416-1,34.69513,135.831518,0742-26-3273,0742-26-3274,―,○,―,―,○,○,"http://www.naracity.ed.jp/jhs01/index.cfm/8,html",―,,,,,,,,,,,,
中学校,伏見中学校,奈良県奈良市西大寺野神町1-6-1,34.696218,135.774142,0742-45-7332,0742-43-5389,―,○,―,―,○,○,"http://www.naracity.ed.jp/jhs01/index.cfm/9,html",―,,,,,,,,,,,,
中学校,富雄中学校,奈良県奈良市三碓2-3-12,34.689545,135.735796,0742-45-4381,0742-43-5387,―,○,―,―,○,○,"http://www.naracity.ed.jp/jhs01/index.cfm/10,html",―,,,,,,,,,,,,
中学校,都南中学校,奈良県奈良市南永井町98-1,34.648727,135.824439,0742-61-7070,0742-61-7079,―,○,―,―,○,○,"http://www.naracity.ed.jp/jhs01/index.cfm/11,html",―,,,,,,,,,,,,
中学校,田原中学校,奈良県奈良市横田町199-1,34.659809,135.912298,0742-81-0021,0742-81-0342,―,○,―,―,○,○,"http://www.naracity.ed.jp/ele02/index.cfm/11,html",―,,,,,,,,,,,,
中学校,興東館柳生中学校,奈良県奈良市大柳生町832,34.712802,135.9339,0742-93-0080,0742-93-0050,―,○,―,―,○,○,"http://www.naracity.ed.jp/jhs01/index.cfm/13,html",―,,,,,,,,,,,,
中学校,登美ヶ丘中学校,奈良県奈良市東登美ケ丘3-1059,34.71364,135.761967,0742-44-3612,0742-43-5355,―,○,―,―,○,○,"http://www.naracity.ed.jp/jhs01/index.cfm/14,html",―,,,,,,,,,,,,
中学校,平城西中学校,奈良県奈良市神功2-1,34.719688,135.780289,0742-71-2011,0742-71-8121,―,○,―,―,○,○,"http://www.naracity.ed.jp/jhs01/index.cfm/15,html",―,,,,,,,,,,,,
中学校,二名中学校,奈良県奈良市二名1-3667-2,34.706291,135.737803,0742-43-9570,0742-48-4573,―,○,―,―,○,○,"http://www.naracity.ed.jp/jhs02/index.cfm/6,html",―,,,,,,,,,,,,
中学校,京西中学校,奈良県奈良市平松4-3-1,34.674265,135.776677,0742-46-5810,0742-45-9406,―,○,―,―,○,○,"http://www.naracity.ed.jp/jhs02/index.cfm/7,html",―,,,,,,,,,,,,
中学校,富雄南中学校,奈良県奈良市藤ノ木台1-5-13,34.68206,135.752957,0742-48-1671,0742-48-4572,―,○,―,―,○,○,"http://www.naracity.ed.jp/jhs02/index.cfm/8,html",―,,,,,,,,,,,,
中学校,平城中学校,奈良県奈良市秋篠町1333,34.708976,135.77381,0742-45-9405,0742-43-9972,―,○,―,―,○,○,"http://www.naracity.ed.jp/jhs02/index.cfm/9,html",―,,,,,,,,,,,,
中学校,飛鳥中学校,奈良県奈良市高畑町1475-1,34.675523,135.849157,0742-22-1890,0742-27-4821,―,○,―,―,○,○,"http://www.naracity.ed.jp/jhs02/index.cfm/15,html",―,,,,,,,,,,,,
中学校,登美ヶ丘北中学校,奈良県奈良市北登美ケ丘1-1-1,34.723654,135.753343,0742-43-0176,0742-49-0178,―,○,―,―,○,○,"http://www.naracity.ed.jp/jhs02/index.cfm/10,html",―,,,,,,,,,,,,
中学校,都跡中学校,奈良県奈良市柏木町13,34.676373,135.795971,0742-33-1378,0742-33-3358,―,○,―,―,○,○,"http://www.naracity.ed.jp/jhs02/index.cfm/11,html",―,,,,,,,,,,,,
中学校,平城東中学校,奈良県奈良市朱雀6-11,34.715578,135.799715,0742-71-6981,0742-71-6300,―,○,―,―,○,○,"http://www.naracity.ed.jp/jhs02/index.cfm/12,html",―,,,,,,,,,,,,
中学校,月ヶ瀬中学校,奈良県奈良市月ヶ瀬尾山2551,34.711197,136.043928,0743-92-0020,0743-92-0895,―,○,―,―,○,○,"http://www.naracity.ed.jp/jhs02/index.cfm/13,html",―,,,,,,,,,,,,
中学校,都祁中学校,奈良県奈良市針町2554,34.606786,135.954707,0743-82-0300,0743-82-0812,―,○,―,―,○,○,"http://www.naracity.ed.jp/jhs02/index.cfm/14,html",―,,,,,,,,,,,,
中学校,富雄第三中学校,奈良県奈良市帝塚山南2-11‐1,34.67582,135.732467,0742-43-9568,0742-45-9407,―,○,―,―,○,○,"http://www.naracity.ed.jp/ele03/index.cfm/12,html",―,,,,,,,,,,,,
小学校,椿井小学校,奈良県奈良市椿井町25,34.680485,135.82821,0742-23-7062,0742-23-7063,―,○,―,―,○,○,"http://www.naracity.ed.jp/ele01/index.cfm/6,html",―,,,,,,,,,,,,
小学校,飛鳥小学校,奈良県奈良市紀寺町785,34.675001,135.836305,0742-26-3201,0742-26-3203,―,○,―,―,○,○,"http://www.naracity.ed.jp/ele01/index.cfm/7,html",―,,,,,,,,,,,,
小学校,鼓阪小学校,奈良県奈良市雑司町97,34.692085,135.835757,0742-26-5006,0742-26-5007,―,○,―,―,○,○,"http://www.naracity.ed.jp/ele01/index.cfm/8,html",―,,,,,,,,,,,,
小学校,済美小学校,奈良県奈良市西木辻町5-2,34.675372,135.823657,0742-26-0312,0742-26-0312,―,○,―,―,○,○,"http://www.naracity.ed.jp/ele01/index.cfm/9,html",―,,,,,,,,,,,,
小学校,佐保小学校,奈良県奈良市法蓮町280-1,34.691115,135.820916,0742-23-7065,0742-23-7066,―,○,―,―,○,○,"http://www.naracity.ed.jp/ele01/index.cfm/10,html",―,,,,,,,,,,,,
小学校,大宮小学校,奈良県奈良市大宮町4-223-1,34.683768,135.810839,0742-33-0031,0742-33-0032,―,○,―,―,○,○,"http://www.naracity.ed.jp/ele01/index.cfm/11,html",―,,,,,,,,,,,,
小学校,都跡小学校,奈良県奈良市四条大路5-6-1,34.680558,135.787946,0742-33-1431,0742-33-1432,―,○,―,―,○,○,"http://www.naracity.ed.jp/ele01/index.cfm/12,html",―,,,,,,,,,,,,
小学校,大安寺小学校,奈良県奈良市大安寺2-15-1,34.669031,135.811275,0742-61-7067,0742-62-8857,―,○,―,―,○,○,"http://www.naracity.ed.jp/ele01/index.cfm/13,html",―,,,,,,,,,,,,
小学校,東市小学校,奈良県奈良市古市町268,34.656203,135.841334,0742-61-6563,0742-61-0920,―,○,―,―,○,○,"http://www.naracity.ed.jp/ele01/index.cfm/14,html",―,,,,,,,,,,,,
小学校,平城小学校,奈良県奈良市秋篠町1394,34.710991,135.778301,0742-45-4151,0742-49-0182,―,○,―,―,○,○,"http://www.naracity.ed.jp/ele01/index.cfm/15,html",―,,,,,,,,,,,,
小学校,辰市小学校,奈良県奈良市西九条町1-7-1,34.658998,135.807012,0742-61-7069,0742-64-2604,―,○,―,―,○,○,"http://www.naracity.ed.jp/ele01/index.cfm/16,html",―,,,,,,,,,,,,
小学校,明治小学校,奈良県奈良市北永井町414,34.656276,135.822416,0742-62-4464,0742-62-8463,―,○,―,―,○,○,"http://www.naracity.ed.jp/ele01/index.cfm/17,html",―,,,,,,,,,,,,
小学校,帯解小学校,奈良県奈良市柴屋町9,34.644723,135.829066,0742-62-4411,0742-62-7464,―,○,―,―,○,○,"http://www.naracity.ed.jp/ele02/index.cfm/6,html",―,,,,,,,,,,,,
小学校,伏見小学校,奈良県奈良市菅原町370,34.688056,135.775101,0742-45-4488,0742-43-1140,―,○,―,―,○,○,"http://www.naracity.ed.jp/ele02/index.cfm/8,html",―,,,,,,,,,,,,
小学校,富雄南小学校,奈良県奈良市中町4185,34.674484,135.749455,0742-45-4631,0742-48-4574,―,○,―,―,○,○,"http://www.naracity.ed.jp/ele02/index.cfm/9,html",―,,,,,,,,,,,,
